DOI,Latency_sec
10.1016/j.xkme.2025.101040,0.283
10.1016/j.xkme.2025.101044,0.292
10.1016/j.xpro.2024.103386,0.298
10.1016/j.ymben.2025.04.007,0.28
10.1016/S1470-2045(25)00332-8,0.304
10.1016/S2213-8587(24)00284-5,0.29
10.1016/S2213-8587(24)00340-1,0.294
10.1016/S2214-109X(24)00520-5,0.274
10.1016/S2468-1253(24)00437-0,0.311
10.1016/S2468-1253(25)00156-6,0.294
10.1016/S2468-2667(24)00300-1,0.291
10.1016/S2665-9913(25)00039-6,0.286
10.1021/acs.accounts.4c00580,0.296
10.1021/acs.analchem.4c02421,0.308
10.1021/acs.analchem.4c04163,0.297
10.1021/acs.analchem.4c04677,0.302
10.1021/acs.analchem.4c04939,0.271
10.1021/acs.analchem.4c05906,0.287
10.1021/acs.analchem.4c05964,0.294
10.1021/acs.analchem.4c06501,0.294
10.1021/acs.analchem.4c06748,0.289
10.1021/acs.biochem.5c00241,0.316
10.1021/acs.bioconjchem.4c00484,0.287
10.1021/acs.bioconjchem.5c00072,0.334
10.1021/acs.biomac.4c01559,0.273
10.1021/acs.biomac.4c01707,0.319
10.1021/acs.chemmater.5c00184,0.29
10.1021/acs.chemrestox.4c00527,0.281
10.1021/acs.inorgchem.4c04823,0.318
10.1021/acs.inorgchem.4c05269,0.289
10.1021/acs.inorgchem.5c00438,0.282
10.1021/acs.inorgchem.5c00672,0.288
10.1021/acs.inorgchem.5c00813,0.291
10.1021/acs.jced.4c00637,0.283
10.1021/acs.jctc.4c01623,0.286
10.1021/acs.jmedchem.4c02111,0.294
10.1021/acs.jmedchem.4c02136,0.294
10.1021/acs.jmedchem.4c02153,0.287
10.1021/acs.jmedchem.4c02644,0.294
10.1021/acs.jmedchem.5c00396,0.3
10.1021/acs.jpcb.4c08717,0.298
10.1021/acs.jpclett.5c00136,0.285
10.1021/acs.langmuir.4c03639,0.282
10.1021/acs.langmuir.4c03766,0.299
10.1021/acs.langmuir.4c03886,0.342
10.1021/acs.langmuir.4c04108,0.322
10.1021/acs.langmuir.4c04259,0.299
10.1021/acs.langmuir.4c04297,0.296
10.1021/acs.langmuir.4c05381,0.34
10.1021/acs.langmuir.5c00732,0.288
10.1021/acs.langmuir.5c01606,0.289
10.1021/acs.macromol.4c02128,0.308
10.1021/acscentsci.4c01570,0.304
10.1021/acscentsci.4c02124,0.283
10.1021/acschembio.4c00399,0.276
10.1021/acsomega.3c09608,0.288
10.1021/acsomega.4c05624,0.273
10.1021/acsomega.4c07083,0.351
10.1021/acsomega.4c07371,0.406
10.1021/acsomega.4c07429,0.303
10.1021/acsomega.4c07939,0.305
10.1021/acsomega.4c07974,0.29
10.1021/acsomega.4c08363,0.333
10.1021/acsomega.4c08552,0.325
10.1021/acsomega.4c08966,0.283
10.1021/acsomega.4c09093,0.288
10.1021/acsomega.4c09472,0.301
10.1021/acsomega.4c09823,0.333
10.1021/acsomega.4c10014,0.279
10.1021/acsomega.4c10142,0.29
10.1021/acsomega.4c10216,0.293
10.1021/acsomega.4c10321,0.308
10.1021/acsomega.4c10583,0.283
10.1021/acsomega.4c10647,0.304
10.1021/acsomega.4c10780,0.293
10.1021/acsomega.4c10896,0.323
10.1021/acsomega.4c11059,0.297
10.1021/acsomega.4c11066,0.308
10.1021/acsomega.4c11130,0.282
10.1021/acsomega.4c11143,0.294
10.1021/acsomega.5c00243,0.336
10.1021/acsomega.5c01089,0.29
10.1021/acsomega.5c01335,0.278
10.1021/acsomega.5c02159,0.298
10.1021/acsomega.5c03059,0.298
10.1021/jacs.4c14791,0.292
10.1021/jacs.4c15223,0.308
10.1038/s12276-024-01373-1,0.276
10.1038/s12276-025-01411-6,0.359
10.1038/s12276-025-01438-9,0.282
10.1038/s41366-024-01607-2,0.303
10.1038/s41366-024-01633-0,0.295
10.1038/s41366-024-01652-x,0.292
10.1038/s41366-024-01655-8,0.277
10.1038/s41366-024-01683-4,0.318
10.1038/s41366-024-01691-4,0.282
10.1038/s41366-024-01706-0,0.295
10.1038/s41368-025-00349-9,0.303
10.1038/s41371-025-01002-y,0.277
10.1038/s41375-024-02504-3,0.336
10.1038/s41375-025-02537-2,0.286
10.1038/s41378-025-00880-z,0.278
10.1038/s41378-025-00893-8,0.282
10.1038/s41380-025-02888-3,0.302
10.1038/s41387-024-00272-8,0.306
10.1038/s41387-024-00283-5,0.321
10.1038/s41387-024-00284-4,0.275
10.1038/s41387-024-00294-2,0.33
10.1038/s41387-024-00331-0,0.323
10.1038/s41387-024-00332-z,0.29
10.1038/s41387-024-00340-z,0.303
10.1038/s41387-024-00347-6,0.307
10.1038/s41387-024-00351-w,0.286
10.1038/s41387-024-00354-7,0.308
10.1038/s41387-025-00355-0,0.285
10.1038/s41387-025-00357-y,0.295
10.1038/s41387-025-00358-x,0.282
10.1038/s41387-025-00359-w,0.29
10.1038/s41387-025-00370-1,0.326
10.1038/s41387-025-00373-y,0.281
10.1038/s41390-024-03107-5,0.277
10.1038/s41390-024-03319-9,0.358
10.1038/s41390-024-03380-4,0.283
10.1038/s41390-024-03577-7,0.321
10.1038/s41390-024-03666-7,0.301
10.1038/s41392-025-02126-w,0.277
10.1038/s41392-025-02137-7,0.292
10.1038/s41392-025-02186-y,0.295
10.1038/s41392-025-02254-3,0.282
10.1038/s41392-025-02265-0,0.384
10.1038/s41392-025-02290-z,0.285
10.1038/s41392-025-02318-4,0.297
10.1038/s41394-025-00699-w,0.299
10.1038/s41398-023-02694-x,0.307
10.1038/s41398-024-02924-w,0.287
10.1038/s41398-024-03209-y,0.289
10.1038/s41398-025-03243-4,0.291
10.1038/s41398-025-03412-5,0.329
10.1038/s41405-025-00293-0,0.32
10.1038/s41408-025-01280-2,0.3
10.1038/s41409-025-02508-2,0.279
10.1038/s41409-025-02586-2,0.297
10.1038/s41413-025-00415-2,0.288
10.1038/s41416-024-02887-1,0.276
10.1038/s41416-024-02936-9,0.302
10.1038/s41419-025-07331-7,0.287
10.1038/s41419-025-07396-4,0.292
10.1038/s41419-025-07450-1,0.278
10.1038/s41419-025-07531-1,0.281
10.1038/s41420-025-02632-4,0.338
10.1038/s41427-025-00610-x,0.304
10.1038/s41429-025-00809-8,0.3
10.1038/s41430-024-01514-9,0.314
10.1038/s41430-024-01537-2,0.301
10.1038/s41430-024-01547-0,0.284
10.1038/s41430-024-01551-4,0.291
10.1038/s41430-025-01596-z,0.316
10.1038/s41433-024-03401-w,0.28
10.1038/s41435-025-00324-8,0.278
10.1038/s41443-024-00913-7,0.315
10.1038/s41443-024-00914-6,0.306
10.1038/s41467-024-55093-1,0.294
10.1038/s41467-024-55554-7,0.302
10.1038/s41467-024-55589-w,0.295
10.1038/s41467-025-55876-0,0.287
10.1038/s41467-025-55902-1,0.287
10.1038/s41467-025-56204-2,0.276
10.1038/s41467-025-56210-4,0.345
10.1038/s41467-025-56404-w,0.29
10.1038/s41467-025-56585-4,0.291
10.1038/s41467-025-56807-9,0.285
10.1038/s41467-025-56813-x,0.307
10.1038/s41467-025-56878-8,0.279
10.1038/s41467-025-56891-x,0.308
10.1038/s41467-025-56985-6,0.325
10.1038/s41467-025-57014-2,0.323
10.1038/s41467-025-57108-x,0.289
10.1038/s41467-025-57119-8,0.29
10.1038/s41467-025-57133-w,0.278
10.1038/s41467-025-57172-3,0.29
10.1038/s41467-025-57181-2,0.28
10.1038/s41467-025-57452-y,0.287
10.1038/s41467-025-57533-y,0.3
10.1038/s41467-025-57707-8,0.321
10.1038/s41467-025-57795-6,0.323
10.1038/s41467-025-57797-4,0.283
10.1038/s41467-025-58122-9,0.282
10.1038/s41467-025-58171-0,0.297
10.1038/s41467-025-58204-8,0.277
10.1038/s41467-025-58294-4,0.284
10.1038/s41467-025-58496-w,0.283
10.1038/s41467-025-58539-2,0.315
10.1038/s41467-025-58676-8,0.334
10.1038/s41467-025-58712-7,0.301
10.1038/s41467-025-58714-5,0.307
10.1038/s41467-025-58853-9,0.305
10.1038/s41467-025-59062-0,0.345
10.1038/s41467-025-59310-3,0.334
10.1038/s41467-025-59353-6,0.286
10.1038/s41467-025-59367-0,0.3
10.1038/s41467-025-59377-y,0.288
10.1038/s41467-025-59428-4,0.293
10.1038/s41467-025-59609-1,0.334
10.1038/s41467-025-59623-3,0.282
10.1038/s41467-025-59665-7,0.279
10.1038/s41467-025-59829-5,0.297
10.1038/s41467-025-59865-1,0.298
10.1038/s41467-025-59868-y,0.277
10.1038/s41467-025-59968-9,0.275
10.1038/s41467-025-60058-z,0.309
10.1038/s41467-025-60158-w,0.29
10.1038/s41467-025-60241-2,0.289
10.1038/s41467-025-60320-4,0.284
10.1038/s41467-025-60416-x,0.289
10.1038/s41467-025-60454-5,0.29
10.1038/s41467-025-60612-9,0.277
10.1038/s41467-025-60808-z,0.28
10.1038/s41467-025-60990-0,0.282
10.1038/s41467-025-61058-9,0.281
10.1038/s41467-025-61112-6,0.359
10.1038/s41467-025-61346-4,0.309
10.1038/s41467-025-61397-7,0.293
10.1038/s41467-025-62235-6,0.28
10.1038/s41467-025-62257-0,0.304
10.1038/s41467-025-62634-9,0.29
10.1038/s41514-024-00191-z,0.3
10.1038/s41522-024-00637-y,0.294
10.1038/s41522-025-00702-0,0.303
10.1038/s41523-025-00766-3,0.292
10.1038/s41526-025-00461-4,0.28
10.1038/s41531-024-00853-5,0.287
10.1038/s41531-024-00865-1,0.298
10.1038/s41531-025-00918-z,0.287
10.1038/s41531-025-00940-1,0.294
10.1038/s41531-025-00941-0,0.324
10.1038/s41531-025-00964-7,0.295
10.1038/s41531-025-01003-1,0.284
10.1038/s41531-025-01007-x,0.286
10.1038/s41531-025-01019-7,0.308
10.1038/s41531-025-01083-z,0.286
10.1038/s41531-025-01091-z,0.336
10.1038/s41533-025-00424-y,0.294
10.1038/s41536-025-00393-3,0.306
10.1038/s41536-025-00409-y,0.275
10.1038/s41536-025-00411-4,0.283
10.1038/s41537-024-00475-z,0.294
10.1038/s41537-025-00585-2,0.285
10.1038/s41537-025-00610-4,0.309
10.1038/s41537-025-00618-w,0.295
10.1038/s41538-024-00358-8,0.282
10.1038/s41538-024-00364-w,0.284
10.1038/s41538-025-00380-4,0.305
10.1038/s41538-025-00448-1,0.286
10.1038/s41538-025-00473-0,0.282
10.1038/s41538-025-00486-9,0.417
10.1038/s41538-025-00490-z,0.283
10.1038/s41538-025-00531-7,0.294
10.1038/s41540-025-00523-z,0.277
10.1038/s41540-025-00539-5,0.289
10.1038/s41541-024-01050-4,0.325
10.1038/s41541-025-01153-6,0.31
10.1038/s41545-025-00434-w,0.299
10.1038/s41551-024-01227-1,0.294
10.1038/s41551-025-01350-7,0.277
10.1038/s41564-024-01906-4,0.289
10.1038/s41566-024-01593-x,0.317
10.1038/s41567-025-02785-0,0.296
10.1038/s41572-024-00589-9,0.279
10.1038/s41572-025-00595-5,0.323
10.1038/s41572-025-00635-0,0.282
10.1038/s41581-025-00986-7,0.287
10.1038/s41586-025-08799-1,0.282
10.1038/s41587-024-02342-9,0.262
10.1038/s41588-024-01965-7,0.278
10.1038/s41588-025-02081-w,0.3
10.1038/s41590-024-02004-7,0.295
10.1038/s41591-024-03345-4,0.471
10.1038/s41591-024-03352-5,0.303
10.1038/s41591-024-03374-z,0.298
10.1038/s41591-024-03398-5,0.278
10.1038/s41591-024-03406-8,0.301
10.1038/s41596-024-01124-6,0.297
10.1038/s41598-024-77854-0,0.29
10.1038/s41598-024-84727-z,0.349
10.1038/s41598-025-02639-y,0.3
10.1038/s41598-025-07586-2,0.288
10.1038/s41598-025-09256-9,0.282
10.1038/s41598-025-10305-6,0.295
10.1038/s41598-025-13995-0,0.291
10.1038/s41598-025-85692-x,0.285
10.1038/s41598-025-88005-4,0.296
10.1038/s41598-025-88097-y,0.282
10.1038/s41598-025-89037-6,0.28
10.1038/s41598-025-90405-5,0.299
10.1038/s41598-025-90986-1,0.3
10.1038/s41598-025-91558-z,0.284
10.1038/s41598-025-91787-2,0.293
10.1038/s41598-025-94753-0,0.297
10.1038/s41598-025-95868-0,0.296
10.1038/s41598-025-96812-y,0.331
10.1038/s41684-025-01533-4,0.308
10.1038/s41698-024-00712-9,0.288
10.1038/s41698-025-00809-9,0.295
10.1038/s41698-025-00900-1,0.292
10.1038/s41746-023-00985-7,0.291
10.1038/s41746-025-01430-7,0.271
10.1038/s41746-025-01570-w,0.291
10.1038/s41746-025-01636-9,0.276
10.1038/s41746-025-01643-w,0.288
10.1038/s41746-025-01883-w,0.306
10.1038/s42003-023-05213-2,0.3
10.1038/s42003-024-05783-9,0.276
10.1038/s42003-024-05789-3,0.287
10.1038/s42003-024-05977-1,0.287
10.1038/s42003-024-06388-y,0.299
10.1038/s42003-024-06828-9,0.289
10.1038/s42003-025-07484-3,0.283
10.1038/s42003-025-07656-1,0.302
10.1038/s42003-025-07657-0,0.406
10.1038/s42003-025-07921-3,0.347
10.1038/s42003-025-08135-3,0.278
10.1038/s42003-025-08135-3,0.276
10.1038/s42003-025-08173-x,0.292
10.1038/s42003-025-08249-8,0.286
10.1038/s42003-025-08252-z,0.298
10.1038/s42003-025-08352-w,0.298
10.1038/s42003-025-08370-8,0.293
10.1038/s42004-025-01421-5,0.278
10.1038/s42004-025-01479-1,0.318
10.1038/s42004-025-01518-x,0.279
10.1038/s42004-025-01615-x,0.303
10.1038/s42255-024-01164-y,0.297
10.1038/s42255-025-01225-w,0.308
10.1038/s42255-025-01226-9,0.343
10.1038/s42255-025-01236-7,0.309
10.1038/s42255-025-01246-5,0.277
10.1038/s42255-025-01295-w,0.285
10.1038/s42255-025-01297-8,0.28
10.1038/s43246-025-00749-8,0.276
10.1038/s43856-025-00841-7,0.284
10.1038/s43856-025-00844-4,0.301
10.1038/s44161-024-00591-0,0.29
10.1038/s44172-024-00334-w,0.296
10.1038/s44324-023-00003-0,0.284
10.1038/s44324-024-00004-7,0.31
10.1039/d4an01208a,0.489
10.1039/d4ay02218a,0.285
10.1039/d4bm01315h,0.289
10.1039/d4bm01377h,0.299
10.1039/d4bm01541j,0.329
10.1039/d4cb00260a,0.344
10.1039/d4cb00262h,0.291
10.1039/d4cc05916f,0.372
10.1039/d4cc06573e,0.292
10.1039/d4dt02774d,0.323
10.1039/d4dt03518f,0.303
10.1039/d4em00766b,0.313
10.1039/d4en00820k,0.369
10.1039/d4en01173b,0.294
10.1039/d4fo04400b,0.295
10.1039/d4fo05730a,0.336
10.1039/d4lc00657g,0.284
10.1039/d4ma00943f,0.306
10.1039/d4ma00958d,0.279
10.1039/d4ma01084a,0.312
10.1039/d4ma01278j,0.337
10.1039/d4md00475b,0.323
10.1039/d4md00804a,0.329
10.1039/d4md00850b,0.282
10.1039/d4md00854e,0.272
10.1039/d4na00644e,0.31
10.1039/d4na01022a,0.315
10.1039/d4na01041h,0.323
10.1039/d4na01085j,0.291
10.1039/d4nj02851a,0.278
10.1039/d4nr03471f,0.309
10.1039/d4nr04682j,0.288
10.1039/d4nr04994b,0.279
10.1039/d4nr05261g,0.306
10.1039/d4pm00271g,0.286
10.1039/d4pm00330f,0.317
10.1039/d4qi02737j,0.296
10.1039/d4qi03025g,0.319
10.1039/d4qi03184a,0.284
10.1039/d4ra04503c,0.317
10.1039/d4ra06335j,0.287
10.1039/d4ra06899h,0.277
10.1039/d4ra07209j,0.278
10.1039/d4ra07224c,0.281
10.1039/d4ra07613c,0.293
10.1039/d4ra07949c,0.278
10.1039/d4ra07990f,0.283
10.1039/d4ra08090d,0.297
10.1039/d4ra08123d,0.275
10.1039/d4ra08193e,0.297
10.1039/d4ra08240k,0.28
10.1039/d4ra08347d,0.402
10.1039/d4ra08377f,0.289
10.1039/d4ra08397k,0.301
10.1039/d4ra08926j,0.278
10.1039/d4ra09043h,0.294
10.1039/d4sc02335h,0.324
10.1039/d4sc05222f,0.293
10.1039/d4sc06070a,0.355
10.1039/d4sc06500j,0.276
10.1039/d4sc07714h,0.302
10.1039/d4sc07743a,0.28
10.1039/d4sc08243e,0.288
10.1039/d4sc08599j,0.359
10.1039/d4sc08771b,0.323
10.1039/d4sd00303a,0.284
10.1039/d4sm01117a,0.274
10.1039/d4sm01334d,0.277
10.1039/d4sm01392a,0.294
10.1039/d4ta06689h,0.286
10.1039/d4tb02181a,0.274
10.1039/d4tb02651a,0.323
10.1039/d4tb02653e,0.287
10.1039/d4tc05233a,0.296
10.1039/d5an00108k,0.279
10.1039/d5an00518c,0.325
10.1039/d5ay00778j,0.409
10.1039/d5bm00072f,0.281
10.1039/d5bm00153f,0.286
10.1039/d5bm00441a,0.31
10.1039/d5cp00154d,0.301
10.1039/d5cp00793c,0.321
10.1039/d5cp01244a,0.289
10.1039/d5dt01086a,0.283
10.1039/d5dt01203a,0.278
10.1039/d5dt01594d,0.286
10.1039/d5en00264h,0.285
10.1039/d5fo00054h,0.273
10.1039/d5lc00340g,0.282
10.1039/d5ma00029g,0.313
10.1039/d5ma00066a,0.283
10.1039/d5ma00161g,0.287
10.1039/d5ma00260e,0.283
10.1039/d5ma00517e,0.309
10.1039/d5na00250h,0.289
10.1039/d5nj01239b,0.286
10.1039/d5nj02303c,0.3
10.1039/d5nr00176e,0.279
10.1039/d5nr00518c,0.345
10.1039/d5ra00004a,0.289
10.1039/d5ra00643k,0.33
10.1039/d5ra00682a,0.303
10.1039/d5ra00709g,0.286
10.1039/d5ra00897b,0.316
10.1039/d5ra00968e,0.296
10.1039/d5ra01940k,0.275
10.1039/d5ra02297e,0.287
10.1039/d5ra02359a,0.287
10.1039/d5ra04346h,0.308
10.1039/d5sc01526j,0.302
10.1039/d5sc01912e,0.296
10.1039/d5sc03171k,0.317
10.1039/d5sm00228a,0.289
10.1039/d5tb00167f,0.285
10.1039/d5tb00926j,0.288
10.1042/CS20242001,0.308
10.1042/CS20243031,0.288
10.1042/CS20243515,0.286
10.1056/NEJMoa2409183,0.298
10.1056/NEJMoa2409183,0.285
10.1063/5.0245116,0.288
10.1063/5.0247363,0.272
10.1063/5.0256099,0.329
10.1063/5.0257343,0.292
10.1063/5.0263975,0.285
10.1071/HC24056,0.275
10.1071/HC24108,0.316
10.1071/HC24108_CO,0.303
10.1080/01635581.2024.2401179,0.28
10.1080/01635581.2024.2412356,0.282
10.1080/03007995.2024.2436984,0.314
10.1080/14796694.2024.2426376,0.284
10.1080/14796694.2025.2485752,0.292
10.1093/bjd/ljae341,0.288
10.1093/bjd/ljae416,0.29
10.1093/bjsopen/zrae132,0.282
10.1093/bjsopen/zrae149,0.281
10.1093/bjsopen/zraf016,0.281
10.1093/ced/llae514,0.334
10.1093/ckj/sfae379,0.286
10.1093/ckj/sfae395,0.286
10.1093/clinchem/hvae166,0.287
10.1093/clinchem/hvae208,0.338
10.1093/clinchem/hvae208,0.282
10.1093/eurjpc/zwae380,0.279
10.1093/eurpub/ckae208,0.286
10.1093/her/cyae030,0.292
10.1093/jac/dkae397,0.282
10.1093/jac/dkae412,0.287
10.1093/jac/dkaf056,0.295
10.1093/jalm/jfaf011,0.283
10.1093/jnci/djae261,0.305
10.1093/jncics/pkae129,0.284
10.1093/jncics/pkaf014,0.283
10.1093/milmed/usae298,0.302
10.1093/mtomcs/mfaf006,0.3
10.1093/nar/gkae1135,0.294
10.1093/nar/gkaf073,0.276
10.1093/nar/gkaf106,0.279
10.1093/nar/gkaf139,0.29
10.1093/nar/gkaf378,0.278
10.1093/nar/gkaf669,0.278
10.1093/ntr/ntae267,0.289
10.1097/AOG.0000000000005991,0.28
10.1097/BS9.0000000000000218,0.289
10.1097/CM9.0000000000003273,0.307
10.1097/CM9.0000000000003519,0.334
10.1097/HEP.0000000000000838,0.302
10.1097/JS9.0000000000001549,0.295
10.1097/JS9.0000000000002027,0.285
10.1097/JS9.0000000000002191,0.31
10.1097/LVT.0000000000000410,0.285
10.1097/NRL.0000000000000562,0.297
10.1097/TP.0000000000005152,0.283
10.1097/TXD.0000000000001849,0.287
10.1111/apa.17464,0.287
10.1111/apa.17550,0.303
10.1111/apt.18289,0.309
10.1111/apt.18289,0.269
10.1111/apt.70002,0.303
10.1111/cts.70086,0.288
10.1111/cts.70099,0.288
10.1111/dom.16426,0.329
10.1111/jdi.14336,0.283
10.1111/jdi.14336,0.299
10.1111/jdi.70001,0.279
10.1111/jdi.70003,0.3
10.1111/jdi.70046,0.286
10.1111/jnc.16309,0.285
10.1111/jsap.13826,0.28
10.1111/scs.70001,0.305
10.1111/sdi.13161,0.301
10.1111/tid.14433,0.353
10.1126/sciadv.ado8012,0.273
10.1126/sciadv.adp1461,0.291
10.1126/sciadv.adp9009,0.288
10.1126/sciadv.adq5816,0.27
10.1126/sciadv.adq6399,0.334
10.1126/sciadv.adr7922,0.315
10.1126/sciadv.ads3406,0.284
10.1126/sciadv.ads4412,0.28
10.1126/sciadv.adt3943,0.302
10.1126/scitranslmed.adi6148,0.297
10.1126/scitranslmed.adk3920,0.289
10.1136/bcr-2024-263103,0.289
10.1136/bcr-2024-263547,0.31
10.1136/bmjdrc-2020-001821.ret,0.34
10.1136/bmjdrc-2024-004210,0.291
10.1136/bmjdrc-2024-004713,0.354
10.1136/bmjopen-2023-080830,0.28
10.1136/bmjopen-2024-084401,0.304
10.1136/bmjopen-2024-085784,0.283
10.1136/bmjopen-2024-085924,0.286
10.1136/bmjopen-2024-088318,0.329
10.1136/bmjopen-2024-089047,0.298
10.1136/bmjopen-2024-089206,0.285
10.1136/bmjopen-2024-089288,0.287
10.1136/bmjopen-2024-090484,0.279
10.1136/bmjopen-2024-091446,0.274
10.1136/bmjopen-2024-091582,0.287
10.1136/bmjopen-2024-092020,0.279
10.1136/bmjopen-2024-093080,0.334
10.1136/bmjopen-2025-098896,0.297
10.1136/bmjoq-2024-003114,0.269
10.1136/bmjpo-2024-003100,0.301
10.1136/egastro-2024-100159,0.295
10.1136/heartjnl-2024-324471,0.312
